qid,P569,S248,s528,s813
Q2299440,+1962-03-01T00:00:00Z/11,Q51850225,"""11002441""",+2018-04-13T00:00:00Z/11
Q1782882,+1938-02-27T00:00:00Z/11,Q51850225,"""11002442""",+2018-04-13T00:00:00Z/11
Q2591703,+1935-09-08T00:00:00Z/11,Q51850225,"""11002447""",+2018-04-13T00:00:00Z/11
Q88846,+1946-09-17T00:00:00Z/11,Q51850225,"""11002450""",+2018-04-13T00:00:00Z/11
Q1733327,+1942-10-08T00:00:00Z/11,Q51850225,"""11002452""",+2018-04-13T00:00:00Z/11
Q123224,+1944-12-31T00:00:00Z/11,Q51850225,"""11002456""",+2018-04-13T00:00:00Z/11
Q2141082,+1949-03-12T00:00:00Z/11,Q51850225,"""11002457""",+2018-04-13T00:00:00Z/11
Q1782370,+1942-02-17T00:00:00Z/11,Q51850225,"""11002461""",+2018-04-13T00:00:00Z/11
Q1929775,+1956-06-10T00:00:00Z/11,Q51850225,"""11002462""",+2018-04-13T00:00:00Z/11
Q1554926,+1955-11-24T00:00:00Z/11,Q51850225,"""11002464""",+2018-04-13T00:00:00Z/11
Q107636,+1944-05-16T00:00:00Z/11,Q51850225,"""11002465""",+2018-04-13T00:00:00Z/11
Q1691220,+1947-02-14T00:00:00Z/11,Q51850225,"""11002472""",+2018-04-13T00:00:00Z/11
Q1780158,+1942-12-21T00:00:00Z/11,Q51850225,"""11002479""",+2018-04-13T00:00:00Z/11
Q1510733,+1938-09-16T00:00:00Z/11,Q51850225,"""11002482""",+2018-04-13T00:00:00Z/11
Q1522503,+1941-03-20T00:00:00Z/11,Q51850225,"""11002484""",+2018-04-13T00:00:00Z/11
Q792418,+1937-04-17T00:00:00Z/11,Q51850225,"""11002486""",+2018-04-13T00:00:00Z/11
Q1404465,+1949-12-28T00:00:00Z/11,Q51850225,"""11002488""",+2018-04-13T00:00:00Z/11
Q1878633,+1949-10-21T00:00:00Z/11,Q51850225,"""11002490""",+2018-04-13T00:00:00Z/11
Q1662835,+1936-10-01T00:00:00Z/11,Q51850225,"""11002491""",+2018-04-13T00:00:00Z/11
Q1739642,+1961-02-23T00:00:00Z/11,Q51850225,"""11002493""",+2018-04-13T00:00:00Z/11
Q1895467,+1950-04-08T00:00:00Z/11,Q51850225,"""11002494""",+2018-04-13T00:00:00Z/11
Q1561201,+1935-05-20T00:00:00Z/11,Q51850225,"""11002498""",+2018-04-13T00:00:00Z/11
Q1420190,+1948-07-23T00:00:00Z/11,Q51850225,"""11002499""",+2018-04-13T00:00:00Z/11
Q828514,+1951-01-16T00:00:00Z/11,Q51850225,"""11002500""",+2018-04-13T00:00:00Z/11
Q1457597,+1940-12-12T00:00:00Z/11,Q51850225,"""11002502""",+2018-04-13T00:00:00Z/11
Q84390,+1942-11-21T00:00:00Z/11,Q51850225,"""11002503""",+2018-04-13T00:00:00Z/11
Q1223000,+1946-09-22T00:00:00Z/11,Q51850225,"""11002506""",+2018-04-13T00:00:00Z/11
Q1373032,+1929-06-20T00:00:00Z/11,Q51850225,"""11002509""",+2018-04-13T00:00:00Z/11
