qid,P569,S248,s528,s813,P570,S248,s528,s813
Q1466327,+1950-01-17T00:00:00Z/11,Q51850225,"""11000641""",+2018-04-13T00:00:00Z/11,+2017-08-10T00:00:00Z/11,Q51850225,"""11000641""",+2018-04-13T00:00:00Z/11
Q1282816,+1903-02-10T00:00:00Z/11,Q51850225,"""11000642""",+2018-04-13T00:00:00Z/11,+1971-04-06T00:00:00Z/11,Q51850225,"""11000642""",+2018-04-13T00:00:00Z/11
Q1717212,+1906-05-27T00:00:00Z/11,Q51850225,"""11000643""",+2018-04-13T00:00:00Z/11,+1983-03-25T00:00:00Z/11,Q51850225,"""11000643""",+2018-04-13T00:00:00Z/11
Q2639783,+1898-04-15T00:00:00Z/11,Q51850225,"""11000644""",+2018-04-13T00:00:00Z/11,+1985-03-07T00:00:00Z/11,Q51850225,"""11000644""",+2018-04-13T00:00:00Z/11
Q1356035,+1923-05-24T00:00:00Z/11,Q51850225,"""11000645""",+2018-04-13T00:00:00Z/11,+1994-10-18T00:00:00Z/11,Q51850225,"""11000645""",+2018-04-13T00:00:00Z/11
Q1579686,+1912-11-17T00:00:00Z/11,Q51850225,"""11000646""",+2018-04-13T00:00:00Z/11,+1986-02-20T00:00:00Z/11,Q51850225,"""11000646""",+2018-04-13T00:00:00Z/11
Q1635060,+1901-04-01T00:00:00Z/11,Q51850225,"""11000648""",+2018-04-13T00:00:00Z/11,+1984-07-08T00:00:00Z/11,Q51850225,"""11000648""",+2018-04-13T00:00:00Z/11
Q100960,+1943-09-29T00:00:00Z/11,Q51850225,"""11000649""",+2018-04-13T00:00:00Z/11,+1998-12-30T00:00:00Z/11,Q51850225,"""11000649""",+2018-04-13T00:00:00Z/11
Q112234,+1907-05-30T00:00:00Z/11,Q51850225,"""11000652""",+2018-04-13T00:00:00Z/11,+2006-06-25T00:00:00Z/11,Q51850225,"""11000652""",+2018-04-13T00:00:00Z/11
Q1449615,+1914-08-30T00:00:00Z/11,Q51850225,"""11000653""",+2018-04-13T00:00:00Z/11,+2000-08-04T00:00:00Z/11,Q51850225,"""11000653""",+2018-04-13T00:00:00Z/11
